XQXA Mochila de viaje para ordenador portátil con puerto de carga USB y puerto para auriculares, mochila para estudiantes de colegio y universidad, compatible con portátil de 15,6 pulgadas	https://amazon.it//XQXA-portatile-auricolari-universit%C3%A0-portatili/dp/B089QS4WN6/ref=sr_1_49?dchild=1&keywords=computer&qid=1605439803&sr=8-49			0
HP Elite 8300 – computer Desktop (Intel Core i7 – 3770, GB di RAM, disco SSD GB + GB HDD, lettore DVD, sistema operativo Windows 10 Pro è 64) – Nero (Ricondizionato)	https://amazon.it//HP-computer-Desktop-operativo-Ricondizionato/dp/B07NGM8KPC/ref=sr_1_50?dchild=1&keywords=computer&qid=1605439803&sr=8-50			0
RIHANA Altoparlanti USB per Computer, Mini Altoparlante Alimentato Altoparlante Portatile Soundbar Altoparlante Stereo per Desktop, PC Windows, Laptop, Plug And Play	https://amazon.it//RIHANA-Altoparlanti-Altoparlante-Alimentato-Portatile/dp/B08MDTGDFY/ref=sr_1_51?dchild=1&keywords=computer&qid=1605439803&sr=8-51	18,99 €		0
"Lenovo IdeaPad Slim 1 Notebook, Display 14"" HD, Processore AMD A9-9420e, 128 GB SSD, RAM 4 GB, Windows 10, Ice Blue"	https://amazon.it//Lenovo-IdeaPad-Notebook-Processore-A9-9420e/dp/B089NVXVMH/ref=sr_1_52?dchild=1&keywords=computer&qid=1605439803&sr=8-52			0
"LENOVO Notebook Essential V145-15AST Monitor 15.6"" HD AMD A4-9125 Ram 4GB SSD 256GB 2xUSB 3.0 Free Dos"	https://amazon.it//Lenovo-NOTEBOOK-V145-15AST-A4-9125/dp/B07YYDTLB4/ref=sr_1_53?dchild=1&keywords=computer&qid=1605439803&sr=8-53			0
"msi Gaming GS75 10SFS-225 Stealth Alluminio, Nero, Oro Computer Portatile 43,9 cm (17.3"") 1920 x 1080 Pixel Intel® Core i9 di Decima Generazione 16 GB DDR4-SDRAM 1000 GB SSD NVIDIA GeForce RTX"	https://amazon.it//10SFS-225-Alluminio-Portatile-Generazione-DDR4-SDRAM/dp/B086XHXZD7/ref=sr_1_54?dchild=1&keywords=computer&qid=1605439803&sr=8-54			1
Supporto per computer, supporto per notebook, tablet, supporto per telefono, portatile, ventilato, 6 livelli, altezza regolabile, supporto per notebook per tutti i computer portatili e tablet	https://amazon.it//Supporto-portatile-ventilato-regolabile-portatili/dp/B08M633VL4/ref=sr_1_55?dchild=1&keywords=computer&qid=1605439803&sr=8-55			0
PC DELL 7010 SFF Intel Core i5 3470 3.20Ghz/RAM 8GB/480GB SSD/DVD+RW/WIN 10 PRO (Ricondizionato)	https://amazon.it//DELL-Intel-3-20Ghz-480GB-Ricondizionato/dp/B07RR23WR2/ref=sr_1_56?dchild=1&keywords=computer&qid=1605439803&sr=8-56	209,57 €		0
Mini PC Beelink Gemini T34,Windows 10(64 bit) Computer desktop Intel Celeron N3450 RAM 8GB/128GB Support Dual System(Windows Ubuntu)/ SSD mSATA/Dual WiFi/BT 4.0	https://amazon.it//Beelink-PC%EF%BC%8CWindows-Computer-desktop-Celeron/dp/B07YTGYXCK/ref=sr_1_57?dchild=1&keywords=computer&qid=1605439803&sr=8-57	219,00 €		1
Beelink BT3 Pro II Mini PC Support Windows 10, Intel Atom x5-Z8350 Processor 4GB Ram 64GB Rom Graphics HD 400, 1000Mbps LAN MINI Computer con 5.8G+2.4G WiFi HDMI+VGA Outputs/Bluetooth 4.0/USB 3.0	https://amazon.it//SeeKool-x5-Z8350-Processor-Graphics-Bluetooth/dp/B07CQGRZKF/ref=sr_1_58?dchild=1&keywords=computer&qid=1605439803&sr=8-58			1
PC RICONDIZIONATO DELL 7010 SFF Intel Core i5 3470 3.20Ghz/RAM 8GB/SSD 240GB/DVD+RW/LICENZA WIN 10 PRO MAR (Ricondizionato) )	https://amazon.it//RICONDIZIONATO-3-20Ghz-LICENZA-Ricondizionato-Certificato/dp/B07H2GM4K5/ref=sr_1_59?dchild=1&keywords=computer&qid=1605439803&sr=8-59			0
CeO-Tech Alpha V4 PC Fisso - CPU INTEL G5420 3.80GHz 4MB Cache | RAM 16GB DDR4 | SSD 500GB | Radeon RX Vega 3 | Ultra HD 4K | Masterizzatore CD/DVD | WI-FI | Windows 10 PRO	https://amazon.it//CeO-Alpha-Desktop-CPU-J4105-4x2-50GHz-MULTIMEDIALE/dp/B07JMQDSH3/ref=sr_1_60?dchild=1&keywords=computer&qid=1605439803&sr=8-60	449,00 €		0
PULSAR PC FISSO FAST SERIES VELOCE DESKTOP COMPUTER | INTEL QUAD CORE | RAM 16 GB | SSD 240 GB | DVD MASTERIZZATORE | HDMI | WI FI | FISSO COMPLETO ASSEMBLATO ATX 500W CON MICROSOFT WINDOWS 10	https://amazon.it//PULSAR-COMPUTER-MASTERIZZATORE-ASSEMBLATO-OPERATIVO/dp/B01MYM5SZT/ref=sr_1_61?dchild=1&keywords=computer&qid=1605439803&sr=8-61	269,99 €		0
"DOMISO 14 Pollici Custodia Borsa per Computer Portatile PC Protettiva Laptop Sleeve per 14"" Lenovo Chromebook S330/Lenovo ThinkPad E490 T490s T590/HP Stream 14 Pavilion 14/Acer Swift 5 7, Grigio Scuro"	https://amazon.it//DOMISO-Custodia-Portatile-Protettiva-Chromebook/dp/B087TK8RVS/ref=sr_1_62?dchild=1&keywords=computer&qid=1605439803&sr=8-62			0
Dark/Web	https://amazon.it//gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.18b6068d-12f7-29de-3c92-aa33e5f5935b%26ref_%3Ddvm_src_ret_it_xx_s&page-type-id=B07WJ6ZLQJ&ref=sr_1_63&keywords=computer&qid=1605439803&sr=8-63			0
"MSI Gaming GE62-6QD8H21 (Apache Pro) 2.6GHz i7-6700HQ 15.6"" 1920 x 1080Pixel Nero Computer portatile"	https://amazon.it//MSI-GE62-6QD8H21-i7-6700HQ-1080Pixel-portatile/dp/B01BWLBV94/ref=sr_1_64?dchild=1&keywords=computer&qid=1605439803&sr=8-64		MSI GE62 – 6QD8H21 i7 – 6700HQ 8 GB, nuovo, dal rivenditore, fattura con IVA, spedizione AN Pack Station possibile	0
"Acer Aspire E5-574G-57Z1 2.3GHz i5-6200U 15.6"" 1920 x 1080Pixel Nero, Grigio Computer portatile"	https://amazon.it//Acer-E5-574G-57Z1-i5-6200U-1080Pixel-portatile/dp/B01C5U9CBU/ref=sr_1_65?dchild=1&keywords=computer&qid=1605439803&sr=8-65			0
KUU XBOOK Notebook Computer Portatile 14,1 Pollice, PC Portatile da Intel Celeron J4115, Schermo HD 1920 x 1080 IPS, Windows 10 Notebook ultrasottile con cornice stretta(8GB RAM+256GB ROM)	https://amazon.it//KUU-XBOOK-Notebook-Portatile-ultrasottile/dp/B08G12Y195/ref=sr_1_66?dchild=1&keywords=computer&qid=1605439803&sr=8-66			0
[3 Oggetto Bonus] Simbans TangoTab Tablet 10 Pollici con Tastiera 2-in-1 Laptop, Android 9 Pie, 3 GB RAM, Disco 64 GB, IPS, HDMI, GPS, WiFi, USB, PC Bluetooth - TL93	https://amazon.it//Oggetto-Simbans-TangoTab-Tastiera-Bluetooth/dp/B07X3L881Y/ref=sr_1_67?dchild=1&keywords=computer&qid=1605439803&sr=8-67			1
